Код товара,Автор,Название,Обложка,Рейтинг,Стикеры,Наличие,Цена,Описание,Издательство:,Год издания:,Место издания:,Язык текста:,Тип обложки:,Формат:,Размеры в мм (ДхШхВ):,Вес:,Страниц:,Тираж:,Код товара:,Артикул:,ISBN:,В продаже с:,Возраст:,Тиснение:,Бумага:,Обрез:,Иллюстрации:,Язык оригинала:,Перевод:,Производитель:,Год производства:,Место производства:,Иллюстраторы:
1012089,Достоевский Ф. М.,Преступление и наказание,https://moscowbooks.ru/image/book/675/w259/i675194.jpg,0,,True,136 руб.,"""Преступление и наказание"" — высочайший образец криминального романа. В рамках жанра полицейского расследования писатель поставил вопросы, и по сей день не решенные. Кем должен быть человек: ""тварью дрожащей"", как говорит Раскольников, или ""Наполеоном""? И это проблема уже XXI века. Написанный в 1866 году роман ""Преступление и наказание"" до сих пор остается самой читаемой в мире книгой и входит в большинство школьных программ по литературе.",Эксмо,2019,Москва,русский,Твердый переплет,84х108 1/32,200x130x28,425 гр.,592,7000 экз.,1012089,ITD000000000832998,978-5-699-93016-6,11.10.2019,,,,,,,,,,,
1004205,Достоевский Ф. М.,Игрок,https://moscowbooks.ru/image/book/668/w259/i668202.jpg,0,,False,220 руб.,"В романе ""Игрок"" писатель изображает прекрасного человека, который не вписывается в общество, где царят бездушие и лицемерие.",Искателькнига,2015,Москва,русский,Твердый переплет,60х90 1/16,215x145,227 гр.,126,3000 экз.,1004205,,978-5-9905833-4-4,27.08.2019,16 +,,,,,,,,,,
1000435,Достоевский Ф. М.,Чужая жена и муж под кроватью,https://moscowbooks.ru/image/book/664/w259/i664507.jpg,0,,True,144 руб.,"Очень необычный сборник. Очень непривычный Достоевский. Достоевский не только (и не столько) трагический, но — ироничный, веселый, трогательный и даже сентиментальный. Достоевский ""малой формы"" — мастер злободневных сюжетов, комических ситуаций и остроумных диалогов. Достоевский в начале своего литературного пути — до ""Великого пятикнижия"". ""Село Степанчиково и его обитатели"", ""Хозяйка"", ""Чужая жена и муж под кроватью"" — без этих произведений невозможно понять Достоевского. Ведь именно в них наметились те философско-нравственные и социально-психологические мотивы творчества, из которых позже вырастут ""Братья Карамазовы"", ""Идиот"", ""Бесы"" и другие романы.",АСТ,2019,Москва,русский,Мягкая обложка,76х100 1/32,180x115x27,240 гр.,384,5000 экз.,1000435,ASE000000000843846,978-5-17-115705-0,30.07.2019,,,,,,,,,,,
997191,Достоевский Ф. М.,Полное собрание романов в двух томах. В 2 книгах,https://moscowbooks.ru/image/book/661/w259/i661044.jpg,0,,True,1 880 руб.,"В первый том вошли романы ""Бедные люди"", ""Игрок"", ""Идиот"", ""Бесы"", ""Униженные и оскорбленные"", а в Приложение — рассказ ""Роман в девяти письмах"" и повесть ""Белые ночи. Сентиментальный роман"".Во второй том вошли романы ""Подросток"", "" Преступление и наказание "", ""Братья Карамазовы"".",АЛЬФА-КНИГА,2019,Москва,русский,Твердый переплет,60х90 1/16,215x145x115,2445 гр.,2558,3000 экз.,997191,188881,978-5-9922-0332-5,08.07.2019,,,,,,,,,,,
995794,Достоевский Ф. М.,Преступление и наказание,https://moscowbooks.ru/image/book/659/w259/i659553.jpg,0,,True,12 654 руб.,"""Преступление и наказание"" — одно из самых известных, цельных и глубоких произведений Достоевского. Текст этой драмы был впервые опубликован в журнальном варианте в 1866 году, а год спустя вышел отдельной книгой. Любопытно, что роман сразу привлек к себе внимание не только всей читающей российской публики, но и зарубежных криминалистов, которые восхищались тончайшим анализом психологии преступника, описанной в этом произведении.Данное издание романа завершает небольшой очерк, посвященный творчеству Достоевского.Иллюстрации к роману, хорошо передающие и городскую атмосферу Петербурга последней трети XIX века, и сложный мир персонажей драмы, выполнены Ольгой Андреевной Русаковой.",,2019,СПб,русский,Кожаный переплет,,241x175x45,1100 гр.,432,,995794,,978-5-9603-0470-2,27.06.2019,,Углубленное тиснение (красочное плоскоуглубленное изображение),Офсетная,Рисованный,С иллюстрациями,,,,,,
994923,Достоевский Ф. М.,Село Степанчиково и его обитатели. Из записок неизвестного,https://moscowbooks.ru/image/book/658/w259/i658853.jpg,0,,True,778 руб.,"В своей повести ""Село Степанчиково и его обитатели"" Ф. М. Достоевский разыгрывает на русский манер пьесу Мольера ""Тартюф"". Несмотря на то, что произведение создано в XIX веке, оно не теряет своей актуальности и по сей день.",Издательский дом Мещерякова,2019,Москва,русский,Твердый переплет,60х84 1/16,200x145x22,560 гр.,296,1500 экз.,994923,IDM00006739,978-5-00108-509-6,21.06.2019,10 +,,,,,,,,,,
992455,Достоевский Ф. М.,Собрание сочинений. В 10 томах,https://moscowbooks.ru/image/book/656/w259/i656673.jpg,0,,True,6 400 руб.,"Федор Михайлович Достоевский (1821—1881) — великий русский писатель, мастер художественного слова, глубокий психолог и знаток человеческой души. Его творчество сильно повлияло на мировую художественную литературу и шире — мировую культуру. В собрании сочинений представлены все основные произведения писателя, а также ""Дневник писателя"", в котором Федор Михайлович отразил свои мысли о современных ему событиях.По сравнению с десятитомником 2010 года, в настоящее издание добавлены пропущенные месяцы ""Дневника писателя"".",Книжный Клуб Книговек,2019,Москва,русский,Твердый переплет,84х108 1/32,200x130x345,6960 гр.,,,992455,СМ017429,978-5-4224-1537-3,30.05.2019,,,,,,,,,,,
989763,Достоевский Ф. М.,Малая проза. Книга 2. Скверный анекдот. Крокодил. Вечный муж. Бобок,https://moscowbooks.ru/image/book/654/w259/i654875.jpg,0,,True,4 880 руб.,"Настоящее издание ""малой прозы"" Ф. М. Достоевского (1821—1881) включает произведения 1860—1870-х годов.Вошедшие в него шесть рассказов и повесть демонстрируют широчайший творческий диапазон писателя: от утонченного психологизма рассказов ""Вечный муж"" и ""Кроткая"" до фантастического абсурда фельетона ""Тритон"". Открывающий книгу рассказ ""Скверный анекдот"" — подчеркнуто экспериментальный, обозначающий новые пути для прозы Достоевского. Фантастические рассказы ""Бобок"" и ""Сон смешного человека"" объединены масштабной религиозно-философской проблематикой, но различны по колориту — если в ""Бобке"" перед нами мрачный юмор, то в ""Сне смешного человека"" — патетическая серьезность. К фантастическим можно отнести и комическую сценку ""Крокодил"", однако аллюзии на политическую злобу дня отличают ее от прочих произведений.Тексты сопровождаются статьей и комментариями известного специалиста по творчеству Достоевского Б. Н. Тихомирова и иллюстрациями А. А. Джигирей, созданными специально для настоящего издания. Это вторая книга из задуманного издательством ""Вита Нова"" трехчастного собрания повестей и рассказов Достоевского разных лет (составитель — Б. Н. Тихомиров).",,2019,СПб,русский,Твердый переплет,70х100 1/16,240x170x40,1510 гр.,536,800 экз.,989763,,978-5-93898-696-1,15.05.2019,,,,,,,,,,,
988509,Достоевский Ф. М.,Братья Карамазовы,https://moscowbooks.ru/image/book/653/w259/i653792.jpg,0,,True,6 318 руб.,"«Братья Карамазовы» (1879–1880), последний, самый объемный и один из наиболее известных романов Ф. М. Достоевского, обращают читателя к вневременным нравственно-философским вопросам о грехе, воздаянии, сострадании и милосердии. Книга, которую сам писатель определил как «роман о богохульстве и опровержении его», явилась попыткой «решить вопрос о человеке», «разгадать тайну» человека, что, по Достоевскому, означало «решить вопрос о Боге». Сквозь призму почти детективной истории о жестоком убийстве главы провинциальной семьи Карамазовых автор повествует об извечной борьбе Божественного и дьявольского в человеческой душе. Один из самых глубоких в мировой литературе опытов отражения христианского сознания, «Братья Карамазовы» стали в XX веке объектом парадоксальных философских и психоаналитических интерпретаций.Ограниченный тираж.",,2019,СПб,русский,Кожаный переплет,60х90 1/16,215x145x45,960 гр.,832,,988509,978-5-389-15519-0,,30.04.2019,,Углубленное тиснение (красочное плоскоуглубленное изображение),Офсетная,Рисованный,,,,,,,
987119,Достоевский Ф. М.,Преступление и наказание,https://moscowbooks.ru/image/book/652/w259/i652738.jpg,0,,True,630 руб.,"""Преступление и наказание"" — одно из самых известных, цельных и глубоких произведений Достоевского. Текст этой драмы был впервые опубликован в журнальном варианте в 1866 году, а год спустя вышел отдельной книгой. Любопытно, что роман сразу привлек к себе внимание не только всей читающей российской публики, но и зарубежных криминалистов, которые восхищались тончайшим анализом психологии преступника, описанной в этом произведении.Данное издание романа завершает небольшой очерк, посвященный творчеству Достоевского.Иллюстрации к роману, хорошо передающие и городскую атмосферу Петербурга последней трети XIX века, и сложный мир персонажей драмы, выполнены Ольгой Андреевной Русаковой.",СЗКЭО,2019,СПб,русский,Твердый переплет,,241x175x41,990 гр.,432,3000 экз.,987119,ББ29279,978-5-9603-0470-2,22.04.2019,,,,,,,,,,,
